name,ja,en
errorDialog.sdkLoginLoadFailedIOS10,認証に失敗しました。\n通信環境をご確認の上、ページの再読み込みをお試しください。\n何度も発生する場合はブラウザキャッシュクリアをお試しください。\n\niOS11.0未満の動作環境でご利用頂いた場合、\n正常に動作しない恐れがございます。\nお手数ですがOSのアップデートをお試しください。\n,認証に失敗しました。\n通信環境をご確認の上、ページの再読み込みをお試しください。\n何度も発生する場合はブラウザキャッシュクリアをお試しください。\n\niOS11.0未満の動作環境でご利用頂いた場合、\n正常に動作しない恐れがございます。\nお手数ですがOSのアップデートをお試しください。\n
errorDialog.sdkLoginLoadFailedApp,認証に失敗しました。\n通信環境をご確認の上、再読み込みをお試しください。\n何度も発生する場合は時間をおいてお試しください。\n,認証に失敗しました。\n通信環境をご確認の上、再読み込みをお試しください。\n何度も発生する場合は時間をおいてお試しください。\n
errorDialog.staminaLimitOver,スタミナが500を超える為、\nアイテムを使用できませんでした。\n営業やプロデュースでスタミナを消費してください。,Item could not be used\r\n since Stamina exceeds 500.\r\n Please spend Stamina in Jobs or Production.
errorDialog.unsubscribedApp,退会済みのアカウントが検出されました。\nアプリケーションの再インストールをお試しください。,退会済みのアカウントが検出されました。\nアプリケーションの再インストールをお試しください。
errorDialog.unsubscribed,退会済みのアカウントが検出されました。\nタイトルへ戻ります。\n何度も発生する場合は\nクッキーの削除をお試しください。,退会済みのアカウントが検出されました。\nタイトルへ戻ります。\n何度も発生する場合は\nクッキーの削除をお試しください。
errorDialog.accountFreezeShort,調査の為、一時的にご利用を制限しております。\n対応が完了次第制限解除いたしますので\nしばらくお待ち下さい。\nお客様にはご迷惑をお掛けいたしますが\nご協力をお願いいたします。,調査の為、一時的にご利用を制限しております。\n対応が完了次第制限解除いたしますので\nしばらくお待ち下さい。\nお客様にはご迷惑をお掛けいたしますが\nご協力をお願いいたします。
errorDialog.earthPaymentFailure,プラットフォームの決済処理が\n正常に行われませんでした。\n再度時間をおいてお試しください。\n\n何度も発生する場合は\nゲーム内の「お知らせ」→「お問い合わせ」より\nお問い合わせください。\n\nお問い合わせID: %{requestId}\nエラーコード: %{errorCode},プラットフォームの決済処理が\n正常に行われませんでした。\n再度時間をおいてお試しください。\n\n何度も発生する場合は\nゲーム内の「お知らせ」→「お問い合わせ」より\nお問い合わせください。\n\nお問い合わせID: %{requestId}\nエラーコード: %{errorCode}
errorDialog.earthPaymentFailureFatal,プラットフォームの決済処理が\n正常に行われませんでした。ゲーム内の「お知らせ」→「お問い合わせ」より\nお問い合わせください。\n\nお問い合わせID: %{requestId}\nエラーコード: %{errorCode},プラットフォームの決済処理が\n正常に行われませんでした。ゲーム内の「お知らせ」→「お問い合わせ」より\nお問い合わせください。\n\nお問い合わせID: %{requestId}\nエラーコード: %{errorCode}
errorDialog.sceneMaintenance,本機能は、一時的にご利用を制限しております。\n対応が完了次第制限解除いたしますので\nしばらくお待ち下さい。\nお客様にはご迷惑をお掛けいたしますが\nご協力をお願いいたします。,本機能は、一時的にご利用を制限しております。\n対応が完了次第制限解除いたしますので\nしばらくお待ち下さい。\nお客様にはご迷惑をお掛けいたしますが\nご協力をお願いいたします。
errorDialog.playMovie,動画再生に失敗しました。,Video Playback Failed. 
errorDialog.businessIsNotFinished,営業が完了していません。\n少し時間を置いてから再度完了してください。,The job is not complete. \r\nPlease wait a minute and try again. 
errorDialog.purchaseErrorTitle,購入エラー,Purchase Error
errorDialog.purchaseError,ご購入の処理中に\nエラーが発生したため、ご購入が\n正しく終了されませんでした。,There was an error processing your order.\r\nYour order could not be completed.
errorDialog.purchaseDeferredTitle,制限,Restriction
errorDialog.purchaseDeferred,ご購入が制限されております。\n制限が解除されるまでご購入はできません。,ご購入が制限されております。\n制限が解除されるまでご購入はできません。
errorDialog.purchaseRestoreTitle,購入エラー,Purchase Error
errorDialog.purchaseRestore,購入処理を完了できませんでした。\nしばらくしてからもう一度お試しください。\n購入のリトライをしますか？,購入処理を完了できませんでした。\nしばらくしてからもう一度お試しください。\n購入のリトライをしますか？
errorDialog.note.noSettlementProcess,※再読み込みしてもバナコイン、フェザージュエル\n決済処理が多重に行われることはありません。,※再読み込みしてもバナコイン、フェザージュエル\n決済処理が多重に行われることはありません。
errorDialog.contextLost.appText,画像の読み込みに失敗しました。\n再読み込みボタンを押して再読み込みしてください。\n改善されない場合には\nアプリの再起動をお試しください。,画像の読み込みに失敗しました。\n再読み込みボタンを押して再読み込みしてください。\n改善されない場合には\nアプリの再起動をお試しください。
errorDialog.contextLost.browserText,画像の読み込みに失敗しました。\n再読み込みボタンを押して再読み込みしてください。\n改善されない場合には\nブラウザの再起動をお試しください。,画像の読み込みに失敗しました。\n再読み込みボタンを押して再読み込みしてください。\n改善されない場合には\nブラウザの再起動をお試しください。
errorDialog.contextLost.buttonText,再読み込み,Reload
evolutionItem,特訓はづきさん,Evolution Hazuki
exchangeItem.costumeTicket.original,衣装交換チケット,Outfit Ticket
exchangeItem.costumeTicket.simple,チケット,Ticket
exchangeItem.communicationRelease.original,アルバムの鍵,Album Key
exchangeItem.businessMotivationItem.original,差し入れアイテム,Handmade Goods 
exchangeItem.businessMotivationItem.simple,差し入れアイテム,Handmade Goods 
gameEventPoint,イベントpt,Event Pt
idolPortal.staffComment1,あ、プロデューサーさん、アイドル達に会いに来てくれたんですね,"Ah, Producer, you came to meet the idols. "
idolPortal.staffComment2,みんながプロデューサーさんを待っていますよ～,"Everyone's been waiting for you, Producer-san～"
idolPortal.staffComment3,アイドルの育成はプロデューサーさんの大切なお仕事ですからね～,Raising idols is an important part of being a producer～
idolPortal.staffComment4,トレーニングでアイドルを成長させましょう,Let's strengthen your idols with training!
idolPortal.staffComment5,特訓でアイドル達の力をさらに引き出してあげましょう,Let's evolve your idols and draw out their power!
idolPortal.staffComment6,プロデューサーさんの現在の担当アイドルはこちらで確認できます,You can check out your current idols here.
jewelDetailDialog.title,所持フェザージュエル確認,Confirm Feather Jewels
evolution.skillListTitle,解放されるスキル,Unlocked Skill
evolution.confirm.title,特訓確認,Confirm Evolve
evolution.confirm.comment,選択した対象を消費して、特訓をします。\nよろしいですか？,Consume the selected card and evolve.\r\nAre you sure?
evolution.complete.title,特訓結果,Evolve Result
evolution.complete.comment,特訓が完了しました！,Evolution Complete!
evolution.costumeRelease.first,最大まで特訓したことによって\n,"By evolving to the maximum,\r\n"
evolution.costumeRelease.second,の衣装に\n変更可能になりました！, 's costume\r\nhas been unlocked!
fes.top.title,フェス,FES
fes.top.scoreTitle,現在のスコア,Current Score
fes.top.rankingTitle,グレード内順位/,Grade Pos
fes.top.score,%{value}pt,%{value}pt
fes.top.ranking,%{value}位,Rank %{value}
